Prime,Collisions,Time [mc s]
10243,3820,295828
10247,3889,296062
10253,3975,295758
10259,3776,295983
10267,3783,296930
10271,3932,296211
10273,3834,295942
10289,3928,296451
10301,3914,296171
10303,3870,296203
10313,3887,295840
10321,3839,295986
10331,3827,295798
10333,3796,295941
10337,3979,295947
10343,3830,295880
10357,3863,295561
10369,3878,295820
10391,3861,295663
10399,3934,295546
10427,3824,295671
10429,3849,295806
10433,3931,295809
10453,3879,295619
10457,3795,295595
10459,3929,296689
10463,3804,297057
10477,3771,296671
10487,3866,296739
10499,3799,296530
10501,3844,296829
10513,3789,296804
10529,3827,296981
10531,3862,297001
10559,3805,296924
10567,3763,296970
10589,3840,296479
10597,3747,296843
10601,3799,296987
10607,3766,297215
10613,3685,296593
10627,3810,297467
10631,3728,299257
10639,3861,296208
10651,3730,295931
10657,3706,295780
10663,3728,295839
10667,3836,295792
10687,3762,295722
10691,3750,295696
10709,3694,295680
10711,3716,295597
10723,3697,295973
10729,3657,295830
10733,3723,296053
10739,3811,296146
10753,3710,296121
10771,3801,295935
10781,3578,296085
10789,3665,296163
10799,3698,296064
10831,3689,295632
10837,3685,296045
10847,3718,295919
10853,3680,295666
10859,3682,295945
10861,3778,295939
10867,3611,296083
10883,3651,296135
10889,3656,296171
10891,3727,296051
10903,3613,296512
10909,3513,296298
10937,3695,296229
10939,3714,295877
10949,3641,295992
10957,3767,296147
10973,3632,296560
10979,3609,296491
10987,3721,296835
10993,3641,296069
11003,3641,296145
11027,3671,296128
11047,3640,296067
11057,3637,295717
11059,3582,295854
11069,3613,295962
11071,3560,295734
11083,3547,295747
11087,3594,295887
11093,3546,295895
11113,3577,295892
11117,3530,297463
11119,3473,300077
11131,3594,295799
11149,3575,297081
11159,3614,295977
11161,3523,295946
11171,3493,295995
11173,3651,301428
11177,3646,296038
11197,3568,296001
11213,3494,295699
11239,3487,296013
11243,3406,295941
11251,3546,295786
11257,3510,296459
11261,3577,295667
11273,3551,296291
11279,3533,297363
11287,3594,296443
11299,3441,296027
11311,3523,295425
11317,3410,295976
11321,3482,295634
11329,3419,295966
11351,3530,296084
11353,3520,295726
11369,3558,295892
11383,3532,295844
11393,3501,295806
11399,3599,295599
11411,3524,295410
11423,3515,296064
11437,3520,295367
11443,3533,296048
11447,3515,295462
11467,3466,295779
11471,3514,303007
11483,3540,295758
11489,3474,295952
11491,3491,295862
11497,3431,295910
11503,3395,296112
11519,3522,295557
11527,3479,296328
11549,3527,295718
11551,3510,295971
11579,3437,295827
11587,3460,295952
11593,3399,296020
11597,3497,296566
11617,3465,297670
11621,3542,299222
11633,3341,296109
11657,3416,295881
11677,3491,295747
11681,3460,295775
11689,3397,295615
11699,3300,295440
11701,3400,295864
11717,3450,295950
11719,3526,295848
11731,3336,296182
11743,3420,295777
11777,3312,296150
11779,3424,295537
11783,3358,296228
11789,3335,295840
11801,3401,296341
11807,3312,296007
11813,3377,295712
11821,3371,296298
11827,3401,295422
11831,3317,296003
11833,3394,295832
11839,3385,295805
11863,3482,296079
11867,3456,295661
11887,3343,296357
11897,3466,295782
11903,3254,295841
11909,3376,295644
11923,3343,295475
11927,3303,295621
11933,3403,296195
11939,3311,295745
11941,3380,295748
11953,3343,300559
11959,3179,304545
11969,3391,296219
11971,3267,295659
11981,3375,295564
11987,3356,296306
12007,3302,296083
12011,3397,295784
12037,3351,296036
12041,3307,295890
12043,3316,295741
12049,3256,295863
12071,3298,295748
12073,3312,295737
12097,3302,295463
12101,3313,296740
12107,3276,299368
12109,3377,295774
12113,3243,296520
12119,3284,296153
12143,3263,295689
12149,3232,296309
12157,3416,295753
12161,3313,295707
12163,3348,295670
12197,3306,296367
12203,3210,296107
12211,3284,295188
12227,3231,295771
12239,3192,296012
12241,3206,295977
12251,3334,296130
12253,3306,296071
12263,3294,296505
12269,3193,296327
12277,3296,296132
12281,3281,296433
12289,3224,295553
12301,3297,295676
12323,3249,295599
12329,3220,296044
12343,3348,295656
12347,3181,296208
12373,3264,296087
12377,3340,295597
12379,3167,295731
12391,3205,295925
12401,3176,295442
12409,3124,295387
12413,3242,295510
12421,3305,296407
12433,3278,295963
12437,3128,295750
12451,3189,295458
12457,3200,295571
12473,3262,295827
12479,3276,295486
12487,3190,295745
12491,3288,295834
12497,3227,296068
12503,3150,296251
12511,3260,295466
12517,3232,296267
12527,3270,296037
12539,3167,295534
12541,3173,296062
12547,3200,297147
12553,3204,300107
12569,3138,296347
12577,3253,295628
12583,3189,296580
12589,3130,296095
12601,3123,295745
12611,3207,295882
12613,3167,295786
12619,3176,295611
12637,3220,295629
12641,3164,295673
12647,3271,295845
12653,3158,295908
12659,3161,295826
12671,3237,295468
12689,3150,295994
12697,3114,295363
12703,3118,295813
12713,3196,295981
12721,3052,295564
12739,3134,296145
12743,3096,295516
12757,3157,296076
12763,3242,296407
12781,3131,295541
12791,3135,295914
12799,3012,295859
12809,3092,295914
12821,3187,295491
12823,3027,296137
12829,3186,296121
12841,3056,295859
12853,3076,296994
12889,3119,297221
12893,3132,295852
12899,3100,295943
12907,3052,295745
12911,3216,296144
12917,3117,295545
12919,3152,295888
12923,2963,295618
12941,3112,295661
12953,3139,295741
12959,2999,295737
12967,3170,295744
12973,3035,295498
12979,3111,295844
12983,3139,295949
13001,3032,295455
13003,3094,297058
13007,3253,298896
13009,3177,296371
13033,3057,295645
13037,3042,295878
13043,3116,295914
13049,3055,295489
13063,3002,295918
13093,3093,295751
13099,2974,295800
13103,3027,296074
13109,3078,295523
13121,3017,295977
